cigime03_number,present_in_edcs,edcs_record_count,edcs_ids,places
1,no,0,,
2,no,0,,
3,no,0,,
4,no,0,,
5,no,0,,
6,no,0,,
7,no,0,,
8,no,0,,
9,no,0,,
10,no,0,,
11,no,0,,
12,no,0,,
13,no,0,,
14,no,0,,
15,no,0,,
16,no,0,,
17,no,0,,
18,no,0,,
19,no,0,,
20,no,0,,
21,no,0,,
22,no,0,,
23,no,0,,
24,no,0,,
25,no,0,,
26,no,0,,
27,no,0,,
28,no,0,,
29,no,0,,
30,no,0,,
31,no,0,,
32,no,0,,
33,no,0,,
34,no,0,,
35,no,0,,
36,no,0,,
37,no,0,,
38,no,0,,
39,no,0,,
40,no,0,,
41,no,0,,
42,no,0,,
43,no,0,,
44,no,0,,
45,no,0,,
46,no,0,,
47,no,0,,
48,no,0,,
49,no,0,,
50,no,0,,
51,no,0,,
52,no,0,,
53,no,0,,
54,no,0,,
55,no,0,,
56,no,0,,
57,no,0,,
58,no,0,,
59,no,0,,
60,no,0,,
61,no,0,,
62,no,0,,
63,no,0,,
64,no,0,,
65,no,0,,
66,no,0,,
67,no,0,,
68,no,0,,
69,no,0,,
70,no,0,,
71,no,0,,
72,no,0,,
73,no,0,,
74,no,0,,
75,no,0,,
76,no,0,,
77,no,0,,
78,no,0,,
79,no,0,,
80,no,0,,
81,no,0,,
82,no,0,,
83,no,0,,
84,yes,7,EDCS-71200705 | EDCS-71200707 | EDCS-71200708 | EDCS-75300292,Sarande / Saranda / Buthrotum
85,no,0,,
86,no,0,,
87,no,0,,
88,no,0,,
89,no,0,,
90,no,0,,
91,no,0,,
92,no,0,,
93,no,0,,
94,no,0,,
95,no,0,,
96,no,0,,
97,no,0,,
98,no,0,,
99,no,0,,
100,no,0,,
101,no,0,,
102,no,0,,
103,no,0,,
104,no,0,,
105,no,0,,
106,no,0,,
107,no,0,,
108,no,0,,
109,no,0,,
110,no,0,,
111,no,0,,
112,no,0,,
113,no,0,,
114,no,0,,
115,no,0,,
116,no,0,,
117,no,0,,
118,no,0,,
119,no,0,,
120,no,0,,
121,no,0,,
122,no,0,,
123,no,0,,
124,no,0,,
125,no,0,,
126,no,0,,
127,no,0,,
128,no,0,,
129,no,0,,
130,no,0,,
131,no,0,,
132,no,0,,
133,no,0,,
134,no,0,,
135,no,0,,
