cigime03_number	cigime03_forgery_marker	record_id	edcs_id	inscription_index	province	place	latitude	longitude	material	material_en	not_before	not_after	inscription_text	language	category	category_en	belege	image_urls	publication	raw_dating	dating_from	dating_to	status	comment	photo	language_codes	photo_credits	retrieved_at	source_url
84		EDCS-71200705-0	EDCS-71200705	0	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone	305	361	Imp(eratori) Caesari / Maximino P(io) F(elici)	Latin	tituli honorarii | tituli sacri | viri | Augusti/Augustae	honorary inscriptions | dedicatory inscriptions | men | emperor/emperess	CIGIME-03, 00084,1		CIGIME-03, 00084,1	305 .. 361	305	361	honorary inscriptions | dedicatory inscriptions | men | emperor/emperess			la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200705.json
84		EDCS-71200705-1	EDCS-71200705	1	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone			Consta[ntio] / nepoti divi [Constantii] / f(ilio) divi Max[imiani]	Latin	tituli honorarii | tituli sacri | viri | Augusti/Augustae	honorary inscriptions | dedicatory inscriptions | men | emperor/emperess	CIGIME-03, 00084,1		CIGIME-03, 00084,1	-			honorary inscriptions | dedicatory inscriptions | men | emperor/emperess			la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200705.json
84		EDCS-71200707-0	EDCS-71200707	0	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone	305	305	"""GR"""	Greek			CIGIME-03, 00084,3		CIGIME-03, 00084,3	305	305	305				gr		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200707.json
84		EDCS-71200708-0	EDCS-71200708	0	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone	305	305	[Nobili]ssimo Caesari / [G(alerio) Val(erio)] Maximino / [Invic]to	Latin	tituli honorarii | tituli sacri | viri | Augusti/Augustae	honorary inscriptions | dedicatory inscriptions | men | emperor/emperess	CIGIME-03, 00084,4		CIGIME-03, 00084,4	305	305	305	honorary inscriptions | dedicatory inscriptions | men | emperor/emperess			la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200708.json
84		EDCS-71200708-1	EDCS-71200708	1	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone			Constantiu[s] / divi CLA / Maximiano	Latin	tituli honorarii | tituli sacri | viri | Augusti/Augustae	honorary inscriptions | dedicatory inscriptions | men | emperor/emperess	CIGIME-03, 00084,4		CIGIME-03, 00084,4	-			honorary inscriptions | dedicatory inscriptions | men | emperor/emperess			la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200708.json
84		EDCS-75300292-0	EDCS-75300292	0	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone			Nobiliss[imus 3] / [F]elix [3] / Invictus	Latin	tituli sacri | miliaria | viri | Augusti/Augustae	dedicatory inscriptions | milestones | men | emperor/emperess	AE-2016, 01439 | CIGIME-03, 00084,2		AE-2016, 01439 | CIGIME-03, 00084,2	-			dedicatory inscriptions | milestones | men | emperor/emperess			la		2026-08-19T19:46:26Z	https://edcs.hist.uzh.ch/data/monument/753/75300292.json
84		EDCS-75300292-1	EDCS-75300292	1	Macedonia	Sarande / Saranda / Buthrotum	39.87449	19.99876	lapis	stone			Divi Aug[usti] / Di/[ocleti]ani SES	Latin	tituli sacri | miliaria | viri | Augusti/Augustae	dedicatory inscriptions | milestones | men | emperor/emperess	AE-2016, 01439 | CIGIME-03, 00084,2		AE-2016, 01439 | CIGIME-03, 00084,2	-			dedicatory inscriptions | milestones | men | emperor/emperess			la		2026-08-19T19:46:26Z	https://edcs.hist.uzh.ch/data/monument/753/75300292.json
187		EDCS-71200709-0	EDCS-71200709	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	AN[3] / IT[3]NE[1]A / OMIV[1]IO / [3]CI[3]AFELI / [3]ET ubi[1]V	Latin			CIGIME-03, 00187	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00187.jpg	CIGIME-03, 00187	1 .. 300	1	300			https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00187.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200709.json
188		EDCS-71200710-0	EDCS-71200710	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	A[1]SC / SB[1]VMRO[3] / ETRA[1]O[3] / pater mag(ister) verna M[3]/tus hic fuerunt	Latin	viri | officium/professio	men | occupation	CIGIME-03, 00188 | AE-2016, 01450	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00188.jpg	CIGIME-03, 00188 | AE-2016, 01450	1 .. 300	1	300	men | occupation		https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00188.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200710.json
189		EDCS-71200711-0	EDCS-71200711	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	Ma[3]/us C(aius?) I[3] / Br<i=U>nd<i=U>/sinum	Latin	viri	men	CIGIME-03, 00189 | AE-2016, 01451	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00189.jpg	CIGIME-03, 00189 | AE-2016, 01451	1 .. 300	1	300	men		https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00189.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200711.json
199		EDCS-71200712-0	EDCS-71200712	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	VICIBA / [3]TR / [3]TOB	Latin			CIGIME-03, 00199 | AE-2016, 01452	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00199.jpg	CIGIME-03, 00199 | AE-2016, 01452	1 .. 300	1	300			https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00199.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200712.json
200		EDCS-71200713-0	EDCS-71200713	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	EXVPERIVC et M[3] / [3]EXA[	Latin			CIGIME-03, 00200 | AE-2016, 01453	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00200.jpg	CIGIME-03, 00200 | AE-2016, 01453	1 .. 300	1	300			https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00200.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200713.json
203		EDCS-71200714-0	EDCS-71200714	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	]ANTE / [3] vixi(t?) / AS[3]IE	Latin	tituli sepulcrales	tomb inscriptions	CIGIME-03, 00203	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00203.jpg	CIGIME-03, 00203	1 .. 300	1	300	tomb inscriptions		https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00203.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200714.json
208		EDCS-71200715-0	EDCS-71200715	0	Macedonia	Palase / Palaeste / Grammata	40.16679	19.62398	lapis	stone	1	300	C(aius) Iuliu[s] / Am[	Latin	viri	men	CIGIME-03, 00208 | AE-2016, 01456	https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00208.jpg	CIGIME-03, 00208 | AE-2016, 01456	1 .. 300	1	300	men		https://edcs.hist.uzh.ch/bilder/CI/CIGIME-03_00208.jpg	la		2026-08-19T19:43:27Z	https://edcs.hist.uzh.ch/data/monument/712/71200715.json
